SPI1,SPI3,SPI6,SPI12
0.26540322,NA,NA,NA
0.380119242,NA,NA,NA
1.656532481,1.068298187,NA,NA
0.535585224,1.328203861,NA,NA
0.610150071,1.338509268,NA,NA
-1.193690452,0.303577277,0.951133693,NA
-1.599944297,-0.243265886,0.947424423,NA
-0.521867596,-1.717401165,0.809013654,NA
-0.010371619,-0.582017307,-0.097306688,NA
-0.656263188,-0.710974808,-0.875051522,NA
0.63919255,-0.070476531,-0.65161665,NA
1.282472018,0.689676508,0.310666332,0.865324023
-0.672361561,0.533240191,-0.022269724,0.630473304
0.64911028,0.515016656,0.268337048,0.686465809
-0.33429646,-0.310730292,0.16320588,0.025272597
0.267802424,0.183606597,0.481606456,-0.084488825
-1.209258143,-0.607381403,-0.03888375,-0.48413914
1.328404872,0.043101525,-0.281319752,-0.095617048
-0.777251335,-0.265091882,-0.016409918,-0.067662481
0.160257166,0.786559797,-0.260400718,0.000699117
-0.731351363,-0.777866531,-0.414273198,-0.138394925
-0.710500431,-0.947273896,-1.084753384,-0.138354911
-3.212843188,-2.528453565,-1.777308462,-0.939107449
-0.575369354,-2.530485339,-2.753184298,-1.607355287
0.422676461,-1.321354292,-1.853836038,-1.309158189
0.542019961,0.146979562,-1.335575495,-1.260571181
0.067445161,0.390445399,-1.149142259,-1.200507179
2.231882149,1.649920144,0.384712054,-0.28066209
1.445366104,1.923468948,1.490646559,0.458361424
-0.029929987,2.277367068,1.657001292,0.206874994
-0.413279578,1.062446083,1.730288061,0.217804083
0.384911559,-0.117153129,1.66842426,0.238320655
-0.896681526,-0.706377662,1.694343896,0.209587843
0.69749701,0.116836582,0.688720665,0.574900028
0.763319021,0.467010885,0.341897463,1.317142198
-0.019854504,0.739040834,0.309663173,1.443099062
-2.585528469,-0.589777355,-0.517072654,0.950186005
0.685773675,-0.635547252,-0.232568081,0.949951584
-1.279740995,-1.266999701,-0.431009164,0.700178318
-0.601140969,-0.665432241,-0.954831926,-0.45916638
0.074831868,-1.044205944,-1.262520723,-0.893540154
0.170658353,-0.454268376,-1.287553978,-0.856263591
-0.633224134,-0.145427071,-0.635166665,-0.844984756
-0.132633321,-0.321004972,-1.037639056,-0.884603045
-2.442398954,-1.914169047,-1.328165807,-1.06828446
-0.949382493,-1.872598286,-1.687531152,-1.524092123
0.383311287,-1.128230974,-1.234974932,-1.696071628
0.153281688,-0.326594217,-1.209331397,-1.681496749
-0.369256392,-0.104142698,-1.205363489,-1.366698892
-0.247164768,-0.387366476,-1.111330354,-1.602452475
0.165814866,-0.393325709,-0.611687891,-1.26724982
-0.689426874,-0.566363955,-0.511305678,-1.444147951
0.812143216,0.033098443,-0.328104742,-1.062934883
