SPI1,SPI3,SPI6,SPI12
0.373806568,NA,NA,NA
-0.379949071,NA,NA,NA
1.06554717,0.415128354,NA,NA
0.1729219,0.351338439,NA,NA
0.607190471,0.874617813,NA,NA
-0.411357413,0.242453149,0.418543609,NA
-0.989202321,0.174538566,0.319201503,NA
-0.571308314,-1.093528887,0.597091194,NA
-0.281914796,-0.70051603,-0.124170151,NA
-0.353345959,-0.627280189,-0.449191919,NA
0.149382696,-0.286702428,-0.586639605,NA
0.658041324,0.234418077,-0.031297061,0.26468171
-0.508004754,0.022267559,-0.310895279,-0.056461432
-0.111554479,-0.070228527,-0.291379321,0.041815675
0.010665636,-0.450792933,-0.273624593,-0.343671374
0.324067521,-0.07218349,-0.084374071,-0.350763928
-0.613725441,-0.189519653,-0.243987577,-0.580527589
0.651194917,-0.035035884,-0.487404689,-0.463448701
-0.915957794,-0.451016684,-0.268772254,-0.459475626
0.510799326,0.417906068,-0.100943955,-0.388453298
-0.973580081,-0.802442376,-0.428336406,-0.459579162
-0.836495415,-1.044057688,-1.177028391,-0.492116623
-3.020095786,-2.73503841,-2.344971317,-1.153469863
0.234047876,-1.724166696,-1.924403369,-1.437146292
0.285934715,-0.887684915,-1.330777682,-1.17859407
0.776257961,0.505968482,-0.729195863,-0.694332597
-0.200844111,0.366286387,-0.690079644,-0.847844472
1.913156241,1.255716026,0.235630206,-0.310516621
1.170212299,1.371246144,1.193360355,0.156486721
-0.42712615,1.828465309,1.222341989,0.045840685
-0.151084796,0.820385534,1.331281929,0.064969018
0.811595419,-0.08650969,1.235586209,0.087507425
-0.732157916,-0.361991502,1.551656398,0.111144632
0.615797474,0.253043262,0.632899749,0.394608463
0.812430909,0.595744954,0.518253558,1.154446266
0.380455885,0.877268689,0.685795014,1.282021066
-3.040905779,-0.447441354,-0.348321633,0.663480126
0.591273092,-0.456309482,-0.119769894,0.54441362
-0.810478744,-1.11563579,-0.283930094,0.441226834
-1.354755921,-0.669817747,-0.803918906,-0.533938066
-0.199992582,-1.347559596,-1.232471035,-0.848844465
-0.440005806,-1.252896861,-1.686223781,-0.848372549
-0.363843651,-0.557275707,-0.824466533,-0.85062507
0.011518619,-0.642525527,-1.402933012,-0.906490067
-1.909685531,-1.549726771,-1.871542068,-0.993896585
-1.210053522,-1.826328546,-1.808681209,-1.29035102
0.672025203,-0.560674834,-0.756725864,-1.365484342
0.239896271,0.01374288,-0.455223867,-1.539284928
0.146977838,0.393948756,-0.348838826,-0.851220217
0.16864669,0.137843918,-0.244900019,-0.917868671
0.375232072,0.197294737,0.081621921,-0.662088061
-0.182878334,0.075982372,0.283752316,-0.48110735
1.698025843,0.858238568,0.568695496,0.109581596
-0.435652761,0.814102654,0.51668648,0.108902321
-1.659870397,1.268645356,0.545454889,0.082002769
-1.771761128,-1.775959263,0.491718675,0.007515725
-0.83096028,-1.613763757,0.165308185,0.098366128
0.179480322,-0.588619776,0.375348944,0.335606565
0.419235676,0.039316121,-0.377797953,0.267391933
0.267902088,0.350718556,-0.129977246,0.290287479
0.917241657,0.736821328,0.387033943,0.595051712
-0.348824893,0.348715094,0.229991542,0.402165885
0.130685929,0.305843677,0.364402091,0.354450464
-0.252336572,-0.42041138,0.259313345,0.362390844
0.890675338,0.242680453,0.373292421,0.091303305
-1.403112459,0.018038374,0.212292694,0.03352809
-0.498899946,0.289498627,-0.283315631,0.05452704
-2.211631366,-2.477662208,-0.193906613,0.044668582
-0.637266733,-1.328610448,-0.559694835,0.06562577
