SPI1,SPI3,SPI6,SPI12
0.157386164,NA,NA,NA
0.63062303,NA,NA,NA
1.453918965,1.002747543,NA,NA
1.1856119,1.54209052,NA,NA
0.165798321,1.402890324,NA,NA
-1.277599241,0.554689319,0.981565388,NA
-1.623942393,-0.725907416,1.147078513,NA
-0.523606783,-1.959307358,0.984022194,NA
-0.19373742,-0.570083789,-0.012969701,NA
-0.971094171,-0.969348964,-1.531365676,NA
1.141305861,0.114726419,-0.332435159,NA
1.109188787,0.825019315,0.445222793,0.945792718
-0.498210076,0.826544194,0.173737492,0.856361115
1.170356373,0.825009578,0.620221684,1.0133781
-1.11313133,-0.084512215,0.40322025,0.291708096
-0.62056623,-0.056172656,0.526048267,-0.111262439
-1.635260435,-1.679156773,-0.051439524,-0.290124945
0.519916129,-1.123849987,-0.541599217,-0.143477961
-0.499750793,-0.898138914,-0.415551224,-0.123833538
-0.544014989,-0.259234566,-1.577892333,-0.123941663
-0.918069322,-1.080260114,-1.687875281,-0.241460223
-0.547426458,-1.115439923,-1.773354049,-0.184661452
-1.144092476,-1.571775888,-1.599501072,-0.827907782
-1.83668703,-2.130783328,-2.438306539,-1.820100599
0.38391671,-1.148057509,-1.806359193,-1.731174025
0.341630589,-0.34623297,-1.272935637,-2.072485197
0.219213223,0.304850784,-0.902694918,-1.552494804
1.792902256,1.055272474,-0.008844677,-0.700322948
1.027228757,1.328643176,0.535029833,-0.291336354
-0.094566323,1.715511634,0.980674142,-0.354696513
-0.81178894,0.555758005,1.061468938,-0.356882823
0.091892215,-0.535614911,1.101954181,-0.310876438
0.27769334,0.058249818,1.307570476,-0.114008454
-0.149391329,-0.083318924,0.083029329,-0.039750715
0.534583685,0.169749609,-0.026421627,0.362966831
-0.664070577,-0.30478522,-0.325305352,0.525903754
-0.31091163,-0.341733234,-0.473156184,0.337401729
-0.173100281,-0.675536775,-0.487950113,0.177731508
-0.591583621,-0.695201414,-0.728925983,-0.013832832
-0.127374528,-0.67346431,-0.653712335,-0.573181335
0.868257405,-0.152465168,-0.634712095,-0.600409457
0.276299601,0.319436516,-0.435444101,-0.545548148
-0.386850089,0.592565217,-0.36234741,-0.528111284
-0.981388992,-0.677942386,-0.376726815,-0.592444319
-2.08082622,-1.987221662,-0.798060635,-0.947528154
-0.763435162,-1.811614359,-1.271105817,-1.143044719
-0.500278703,-1.632093984,-1.802135033,-1.441037743
-0.919855004,-1.451699538,-2.174110768,-1.604288606
-0.746014484,-1.277475887,-2.296417708,-2.012794802
-1.000517301,-1.397472317,-2.19744889,-2.156000297
0.327053445,-0.778970523,-1.480937744,-1.707464911
-1.021627033,-0.867280665,-1.398504314,-1.793698982
-0.580296531,-0.537216123,-1.359615649,-2.108018179
-0.711734073,-1.597415762,-1.303922145,-2.188388656
-1.86287511,-1.316855803,-1.289572567,-2.197005913
-0.684029486,-1.735682825,-0.977644507,-2.163346064
-1.059018344,-1.364983709,-2.237070183,-2.08903755
0.84277038,-0.010620629,-0.744783233,-1.566955218
0.464288338,0.278156987,-0.128786234,-1.175558665
-0.598299009,0.278758971,-0.312130082,-1.181040404
1.85273409,0.967116789,0.749433022,-0.174975544
-0.611139256,0.573541785,0.507257537,-0.076396478
0.525405225,1.029853494,0.82748239,0.00928661
0.172330127,-0.101850191,0.610278672,0.212378776
1.682007384,0.9938143,0.922672108,0.647299084
0.866781693,1.313922278,1.319358498,0.777499863
